K,N,bound,failed,max_error,rounds,seed,trial
32,1024,0.10511107610798887,False,0.037392893145161255,65536,5320002,2
32,1024,0.10511107610798887,False,0.037100622618827794,65536,5320003,3
32,1024,0.10511107610798887,False,0.03490439777323684,65536,5320004,4
32,1024,0.10511107610798887,False,0.03720388104838712,65536,5320005,5
32,1024,0.10511107610798887,False,0.038456323847806395,65536,5320006,6
32,1024,0.10511107610798887,False,0.045929939516129004,65536,5320007,7
32,1024,0.10511107610798887,False,0.03844776814935713,65536,5320008,8
32,1024,0.10511107610798887,False,0.04066202224455373,65536,5320009,9
32,1024,0.10511107610798887,False,0.042813403429307506,65536,5320010,10
32,1024,0.10511107610798887,False,0.03531274388657646,65536,5320011,11
32,1024,0.10511107610798887,False,0.03449120015273066,65536,5320012,12
32,1024,0.10511107610798887,False,0.03907571052289288,65536,5320013,13
32,1024,0.10511107610798887,False,0.0404990378281192,65536,5320014,14
32,1024,0.10511107610798887,False,0.04889316142039535,65536,5320015,15
32,1024,0.10511107610798887,False,0.044766528429307506,65536,5320016,16
32,1024,0.10511107610798887,False,0.03824128407069244,65536,5320017,17
32,1024,0.10511107610798887,False,0.03899949596774194,65536,5320018,18
32,1024,0.10511107610798887,False,0.04301228244268401,65536,5320019,19
32,1024,0.10511107610798887,False,0.037424395161290314,65536,5320020,20
32,1024,0.10511107610798887,False,0.036174935383169404,65536,5320021,21
32,1024,0.10511107610798887,False,0.03634175511270182,65536,5320022,22
32,1024,0.10511107610798887,False,0.05054536185425129,65536,5320023,23
32,1024,0.10511107610798887,False,0.033694799026971256,65536,5320024,24
32,1024,0.10511107610798887,False,0.03199067435425135,65536,5320025,25
32,1024,0.10511107610798887,False,0.039547388473028744,65536,5320026,26
32,1024,0.10511107610798887,False,0.044606854838709686,65536,5320027,27
32,1024,0.10511107610798887,False,0.0393418550275251,65536,5320028,28
32,1024,0.10511107610798887,False,0.04643397177419356,65536,5320029,29
32,1024,0.10511107610798887,False,0.04077973685425135,65536,5320030,30
32,1024,0.10511107610798887,False,0.04289528900297074,65536,5320031,31
32,1024,0.10511107610798887,False,0.044757939950404446,65536,5320032,32
32,1024,0.10511107610798887,False,0.0493130134730288,65536,5320033,33
32,1024,0.10511107610798887,False,0.03587873120237661,65536,5320034,34
32,1024,0.10511107610798887,False,0.03277825753793093,65536,5320035,35
32,1024,0.10511107610798887,False,0.03687348685425129,65536,5320036,36
32,1024,0.10511107610798887,False,0.038054435483870996,65536,5320037,37
32,1024,0.10511107610798887,False,0.039769705510892595,65536,5320038,38
32,1024,0.10511107610798887,False,0.035429573424020644,65536,5320039,39
32,1024,0.10511107610798887,False,0.040546798949347124,65536,5320040,40
32,1024,0.10511107610798887,False,0.03772410685064287,65536,5320041,41
32,1024,0.10511107610798887,False,0.03192770310244697,65536,5320042,42
32,1024,0.10511107610798887,False,0.03851073940116134,65536,5320043,43
32,1024,0.10511107610798887,False,0.04108908599702926,65536,5320044,44
32,1024,0.10511107610798887,False,0.045236895161290314,65536,5320045,45
32,1024,0.10511107610798887,False,0.0354797930792857,65536,5320046,46
32,1024,0.10511107610798887,False,0.04955267137096775,65536,5320047,47
32,1024,0.10511107610798887,False,0.049535330510892595,65536,5320048,48
32,1024,0.10511107610798887,False,0.03611422598267933,65536,5320049,49
32,1024,0.10511107610798887,False,0.04511088709677419,65536,5320050,50
32,1024,0.10511107610798887,False,0.04205722392039546,65536,5320051,51
32,1024,0.10511107610798887,False,0.03933185698910746,65536,5320052,52
32,1024,0.10511107610798887,False,0.04501638104838712,65536,5320053,53
32,1024,0.10511107610798887,False,0.04876512096774194,65536,5320054,54
32,1024,0.10511107610798887,False,0.04079471752165087,65536,5320055,55
32,1024,0.10511107610798887,False,0.03125688389530397,65536,5320056,56
32,1024,0.10511107610798887,False,0.03016349185785977,65536,5320057,57
32,1024,0.10511107610798887,False,0.0455275266649324,65536,5320058,58
32,1024,0.10511107610798887,False,0.03723971008442145,65536,5320059,59
32,1024,0.10511107610798887,False,0.034628746936994415,65536,5320060,60
32,1024,0.10511107610798887,False,0.04678049395161288,65536,5320061,61
32,1024,0.10511107610798887,False,0.05673513104838712,65536,5320062,62
32,1024,0.10511107610798887,False,0.04386929462757205,65536,5320063,63
32,1024,0.10511107610798887,False,0.042685231854838745,65536,5320064,64
32,1024,0.10511107610798887,False,0.037928001273455025,65536,5320065,65
32,1024,0.10511107610798887,False,0.036794354838709686,65536,5320066,66
32,1024,0.10511107610798887,False,0.03194324103756169,65536,5320067,67
32,1024,0.10511107610798887,False,0.04048009072580644,65536,5320068,68
32,1024,0.10511107610798887,False,0.036406135924020755,65536,5320069,69
32,1024,0.10511107610798887,False,0.037445341871286564,65536,5320070,70
32,1024,0.10511107610798887,False,0.03864159897284414,65536,5320071,71
32,1024,0.10511107610798887,False,0.04257384387273,65536,5320072,72
32,1024,0.10511107610798887,False,0.0542149697580645,65536,5320073,73
32,1024,0.10511107610798887,False,0.043126686226544975,65536,5320074,74
32,1024,0.10511107610798887,False,0.052003469220989584,65536,5320075,75
32,1024,0.10511107610798887,False,0.03362160027357258,65536,5320076,76
32,1024,0.10511107610798887,False,0.04039505822857575,65536,5320077,77
32,1024,0.10511107610798887,False,0.0476540930461381,65536,5320078,78
32,1024,0.10511107610798887,False,0.048859627016129004,65536,5320079,79
32,1024,0.10511107610798887,False,0.04403981854838712,65536,5320080,80
